dataset,band,subject,condition,R_mean,D_mean,M_mean,Pi,Access_all,n_channels,duration_s,n_windows
DS005620,alpha,1017,sed,0.16471650687439535,8.833431371599016,0.004470989105129289,0.05459770114942528,0.0,62.0,90.0,58.0
DS005620,alpha,1017,sed2,0.16907266566359047,9.069553790666507,0.004562493760125451,0.09649122807017543,0.0,62.0,60.0,38.0
DS005620,alpha,1022,awake,0.3127740882698398,12.971877200670276,0.016721740166534556,0.8275862068965517,0.603448275862069,62.0,90.0,58.0
DS005620,alpha,1022,sed,0.21496602430010878,14.405803633805013,0.010915129939407306,0.5766283524904214,0.20114942528735633,62.0,90.0,58.0
DS005620,alpha,1022,sed2,0.1991593631397878,11.936185025833614,0.009733058030453327,0.49707602339181284,0.09649122807017545,62.0,60.0,38.0
DS005620,alpha,1024,awake,0.28316034755254277,13.239847142112877,0.017044408398818323,0.8275862068965517,0.5862068965517241,62.0,90.0,58.0
DS005620,alpha,1024,sed,0.22457946121128528,14.037315412255161,0.011998196045121206,0.6781609195402298,0.3735632183908046,62.0,90.0,58.0
DS005620,alpha,1024,sed2,0.2175076873490943,14.140486480027654,0.011762922229837644,0.5789473684210525,0.2631578947368421,62.0,60.0,38.0
DS005620,alpha,1033,awake,0.35245749191558595,6.702553854944392,0.014761160141566773,0.8275862068965516,0.6206896551724138,62.0,90.0,58.0
DS005620,alpha,1033,sed,0.2713107552984975,13.31665135946214,0.01606218943983738,0.4616858237547892,0.02873563218390805,62.0,90.0,58.0
DS005620,alpha,1033,sed2,0.2917995704073192,13.024815635451738,0.017210681856208544,0.5146198830409356,0.017543859649122806,62.0,60.0,38.0
DS005620,alpha,1036,awake,0.24208140066420059,15.90871232807311,0.012982304147547462,0.8275862068965515,0.6379310344827587,62.0,90.0,58.0
